,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,hcluster
0,2020-9-2-17,Format1,300,250,75000,Inter222,Video,Desktop,Display,1806,325,323,1,0.0,0.35,0.0,0.31,0.0,0.0,4
1,2020-9-2-10,Format1,300,250,75000,Inter227,App,Mobile,Video,1780,285,285,1,0.0,0.35,0.0,0.35,0.0,0.0,4
2,2020-9-1-22,Format1,300,250,75000,Inter222,Video,Desktop,Display,2727,356,355,1,0.0,0.35,0.0,0.28,0.0,0.0,4
3,2020-9-3-20,Format1,300,250,75000,Inter228,Video,Mobile,Video,2430,497,495,1,0.0,0.35,0.0,0.2,0.0,0.0,4
4,2020-9-4-15,Format1,300,250,75000,Inter217,Web,Desktop,Video,1218,242,242,1,0.0,0.35,0.0,0.41,0.0,0.0,4
5,2020-9-4-5,Format1,300,250,75000,Inter219,Video,Desktop,Display,490,64,64,2,0.0,0.35,0.0,3.12,0.0,0.0,4
6,2020-9-4-6,Format1,300,250,75000,Inter221,App,Mobile,Video,1197,202,202,1,0.01,0.35,0.0,0.5,0.05,0.01,4
7,2020-9-6-7,Format1,300,250,75000,Inter228,Video,Mobile,Video,1363,198,196,1,0.0,0.35,0.0,0.51,0.0,0.0,4
8,2020-9-8-6,Format1,300,250,75000,Inter223,Web,Mobile,Video,1402,137,136,1,0.0,0.35,0.0,0.74,0.0,0.0,4
9,2020-9-11-17,Format1,300,250,75000,Inter228,Video,Mobile,Display,1816,312,311,1,0.0,0.35,0.0,0.32,0.0,0.0,4
10,2020-9-12-7,Format1,300,250,75000,Inter225,Video,Mobile,Display,1644,255,255,1,0.0,0.35,0.0,0.39,0.0,0.0,4
11,2020-9-15-18,Format1,300,250,75000,Inter227,App,Mobile,Display,1935,441,439,1,0.0,0.35,0.0,0.23,0.0,0.0,4
12,2020-9-16-19,Format1,300,250,75000,Inter229,Video,Desktop,Video,2156,436,431,1,0.0,0.35,0.0,0.23,0.0,0.0,4
13,2020-9-14-1,Format1,300,250,75000,Inter224,Web,Desktop,Display,881,118,116,1,0.0,0.35,0.0,0.86,0.0,0.0,4
