State,Make,No_of_Orders
Alabama,Dodge,5
Alaska,Chevrolet,2
Arizona,Cadillac,3
Arizona,Pontiac,3
Arkansas,Chevrolet,1
Arkansas,GMC,1
Arkansas,Mitsubishi,1
Arkansas,Pontiac,1
Arkansas,Suzuki,1
Arkansas,Volkswagen,1
California,Audi,6
California,Chevrolet,6
California,Dodge,6
California,Ford,6
California,Nissan,6
Colorado,Chevrolet,5
Connecticut,Chevrolet,2
Connecticut,Maserati,2
Connecticut,Mercury,2
Connecticut,Volvo,2
Delaware,Mitsubishi,2
"District of Columbia",Chevrolet,4
Florida,Toyota,7
Georgia,Toyota,3
Hawaii,Cadillac,1
Hawaii,Ford,1
Hawaii,GMC,1
Hawaii,Nissan,1
Hawaii,Pontiac,1
Hawaii,Toyota,1
Idaho,Dodge,2
Illinois,Chevrolet,3
Illinois,GMC,3
Illinois,Ford,3
Indiana,Mazda,4
Iowa,Chevrolet,1
Iowa,Chrysler,1
Iowa,Dodge,1
Iowa,Ford,1
Iowa,Hyundai,1
Iowa,Isuzu,1
Iowa,Jeep,1
Iowa,Mazda,1
Iowa,Pontiac,1
Iowa,Porsche,1
Iowa,Subaru,1
Kansas,Buick,1
Kansas,Dodge,1
Kansas,Ford,1
Kansas,GMC,1
Kansas,Honda,1
Kansas,Lexus,1
Kansas,Maserati,1
Kansas,Mazda,1
Kansas,Mercedes-Benz,1
Kansas,Nissan,1
Kansas,Saab,1
Kansas,Suzuki,1
Kansas,Volkswagen,1
Kentucky,Acura,1
Kentucky,Audi,1
Kentucky,Mercedes-Benz,1
Kentucky,Mercury,1
Kentucky,Nissan,1
Kentucky,Pontiac,1
Kentucky,Ram,1
Kentucky,Volvo,1
Louisiana,Nissan,2
Louisiana,BMW,2
Louisiana,Ford,2
Louisiana,Pontiac,2
Louisiana,Kia,2
Maine,Mercedes-Benz,1
Maryland,Ford,5
Massachusetts,Dodge,2
Massachusetts,Chevrolet,2
Michigan,Ford,3
Minnesota,GMC,3
Mississippi,Dodge,1
Mississippi,Toyota,1
Missouri,Chevrolet,4
Montana,Chevrolet,1
Montana,Dodge,1
Montana,Mitsubishi,1
Nebraska,Cadillac,1
Nebraska,Chevrolet,1
Nebraska,Mercedes-Benz,1
Nebraska,Nissan,1
Nebraska,Pontiac,1
Nebraska,Toyota,1
Nebraska,Volkswagen,1
Nevada,Pontiac,3
"New Hampshire",Chrysler,1
"New Hampshire",Lexus,1
"New Hampshire",Lincoln,1
"New Jersey",Hyundai,2
"New Jersey",Mercedes-Benz,2
"New Mexico",Dodge,2
"New York",Toyota,5
"New York",Pontiac,5
"North Carolina",Volvo,3
"North Dakota",Ford,1
"North Dakota",Hyundai,1
Ohio,Chevrolet,6
Oklahoma,Ferrari,2
Oklahoma,Mazda,2
Oklahoma,Toyota,2
Oregon,Toyota,2
Pennsylvania,Toyota,3
"South Carolina",Acura,1
"South Carolina",BMW,1
"South Carolina",Buick,1
"South Carolina",Dodge,1
"South Carolina",Isuzu,1
"South Carolina",Jaguar,1
"South Carolina",Kia,1
"South Carolina",Mazda,1
"South Carolina",Mitsubishi,1
Tennessee,Mazda,3
Texas,Chevrolet,9
Utah,Buick,1
Utah,Chevrolet,1
Utah,Dodge,1
Utah,Isuzu,1
Utah,Lincoln,1
Utah,Maybach,1
Utah,Oldsmobile,1
Utah,Pontiac,1
Utah,Subaru,1
Utah,Volkswagen,1
Vermont,Mazda,1
Virginia,Ford,5
Washington,Chevrolet,5
"West Virginia",Mercedes-Benz,2
Wisconsin,Acura,1
Wisconsin,Cadillac,1
Wisconsin,Chevrolet,1
Wisconsin,Dodge,1
Wisconsin,Honda,1
Wisconsin,Mazda,1
Wisconsin,Nissan,1
Wisconsin,Pontiac,1
Wyoming,Buick,1
